shot,description
shot_0018.jpg,"A distorted, grainy image, predominantly orange and red, features indiscernible shapes and a partially visible blue word."
shot_0021.jpg,"The image shows a close-up of a painted surface with various abstract shapes and colors, including a blue figure resembling a person, a green plant-like shape, and some letter forms."
shot_0004.jpg,"A woman with brown hair is speaking, and a person wearing a brown coat is partially visible."
shot_0003.jpg,Two young women with long hair look out of the windows of a vehicle.
shot_0011.jpg,A blurry close-up shot of two people's faces.
shot_0014.jpg,"A crowd of people, some with cameras, some sitting on the ground, are gathered in front of a building with columns, with police officers standing to the right."
shot_0002.jpg,A blurry image shows the side of a New York City Transit Authority bus and a person inside.
shot_0016.jpg,A crowd of men sit and stand close together.
shot_0017.jpg,"A blurry, slightly overexposed shot shows several people, including some press, standing near a police bus."
shot_0005.jpg,A man and woman are huddled close together.
shot_0015.jpg,"A crowd of people, some wearing leather jackets and hats, are seen in what appears to be a demonstration or protest."
shot_0013.jpg,"A blurry, washed-out image shows a large crowd of people."
shot_0009.jpg,"A blurry, pixelated image shows people and signs, possibly in a protest or rally setting."
shot_0000.jpg,"A blank, off-white surface with small specks of dust or debris is visible."
shot_0008.jpg,"A group of people walk down a city street, some holding signs with a man's face on them."
shot_0001.jpg,"Grainy footage shows several men leaning out of bus windows, waving to a crowd."
shot_0020.jpg,"A blurry, grainy image shows part of a large painted design featuring a person or figure and faded, possibly orange and purple, colors."
shot_0010.jpg,A group of protesters sit on the ground facing police officers in front of a building.
shot_0006.jpg,"A blurry, grainy close-up shows the profile of a person's face next to another person wearing a collared shirt and dark jacket."
shot_0019.jpg,A blurry figure interacts with a small screen or panel on a yellow wall.
shot_0024.jpg,"A crowd of people, some wearing coats, gathers near a building with columns."
shot_0012.jpg,"A grainy, faded photograph shows a large group of people, some sitting and some standing, in what appears to be a protest or demonstration, with several police officers in uniform present."
shot_0022.jpg,"A blurry close-up image shows a piece of paper with the words ""OUR $"" and ""ERE IT CAN"" written on it, attached to a surface covered in various other items."
shot_0023.jpg,"Two men in leather jackets, one facing the camera and slightly blurred, the other in profile."
shot_0007.jpg,"A blurry, grainy image appears to show dark and light shapes against a reddish-orange background."
